id,code,name,parent_id/id,level,is_debt_account,is_general_account,account_type,allowed_compare,chart_template_id/id
chart33522,33522,Chi phí trong thời gian ngừng kinh doanh,chart3352,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart33528,33528,Chi phí phải trả khác,chart3352,3,0,0,asset_prepayments,,l10n_vn.vn_template
chart336,336,Phải trả nội bộ,,1,0,1,liability_payable,1,l10n_vn.vn_template
chart3361,3361,Phải trả nội bộ về vốn kinh doanh,chart336,2,0,0,liability_payable,1,l10n_vn.vn_template
chart3362,3362,Phải trả nội bộ về chênh lệch tỷ giá,chart336,2,0,1,liability_payable,1,l10n_vn.vn_template
chart33621,33621,Phải trả nội bộ về chênh lệch tỷ giá: ngắn hạn,chart3362,3,0,0,liability_payable,1,l10n_vn.vn_template
chart33622,33622,Phải trả nội bộ về chênh lệch tỷ giá: dài hạn,chart3362,3,0,0,liability_payable,1,l10n_vn.vn_template
chart3363,3363,Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hoá,chart336,2,0,1,liability_payable,1,l10n_vn.vn_template
chart33631,33631,Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hoá: ngắn hạn,chart3363,3,0,0,liability_payable,1,l10n_vn.vn_template
chart33632,33632,Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hoá: dài hạn,chart3363,3,0,0,liability_payable,1,l10n_vn.vn_template
chart3368,3368,Phải trả nội bộ khác,chart336,2,0,1,liability_payable,1,l10n_vn.vn_template
chart33681,33681,Phải trả nội bộ khác: ngắn hạn,chart3368,3,0,0,liability_payable,1,l10n_vn.vn_template
chart33682,33682,Phải trả nội bộ khác: dài hạn,chart3368,3,0,0,liability_payable,1,l10n_vn.vn_template
chart337,337,Thanh toán theo tiến độ kế hoạch HĐ xây dựng,,1,0,0,liability_payable,1,l10n_vn.vn_template
chart338,338,"Phải trả, phải nộp khác",,1,0,1,liability_payable,1,l10n_vn.vn_template
chart3381,3381,Tài sản thừa chờ giải quyết,chart338,2,0,0,liability_payable,1,l10n_vn.vn_template
